ts,venue,coin,mid
1781218800.0,hyperliquid,BTC,63381.0
1781219700.0,hyperliquid,BTC,63355.0
1781220600.0,hyperliquid,BTC,63611.0
1781221500.0,hyperliquid,BTC,63621.0
1781222400.0,hyperliquid,BTC,63718.0
1781223300.0,hyperliquid,BTC,63598.0
1781224200.0,hyperliquid,BTC,63633.0
1781225100.0,hyperliquid,BTC,63628.0
1781226000.0,hyperliquid,BTC,63461.0
1781226900.0,hyperliquid,BTC,63335.0
1781227800.0,hyperliquid,BTC,63347.0
1781228700.0,hyperliquid,BTC,63399.0
1781229600.0,hyperliquid,BTC,63632.0
1781230500.0,hyperliquid,BTC,63537.0
1781231400.0,hyperliquid,BTC,63606.0
1781232300.0,hyperliquid,BTC,63592.0
1781233200.0,hyperliquid,BTC,63502.0
1781234100.0,hyperliquid,BTC,63415.0
1781235000.0,hyperliquid,BTC,63448.0
1781235900.0,hyperliquid,BTC,63496.0
1781236800.0,hyperliquid,BTC,63476.0
1781237700.0,hyperliquid,BTC,63774.0
1781238600.0,hyperliquid,BTC,63698.0
1781239500.0,hyperliquid,BTC,63675.0
1781240400.0,hyperliquid,BTC,63414.0
1781241300.0,hyperliquid,BTC,63461.0
1781242200.0,hyperliquid,BTC,63368.0
1781243100.0,hyperliquid,BTC,63328.0
1781244000.0,hyperliquid,BTC,63275.0
1781244900.0,hyperliquid,BTC,63125.0
1781245800.0,hyperliquid,BTC,62894.0
1781246700.0,hyperliquid,BTC,62947.0
1781247600.0,hyperliquid,BTC,62957.0
1781248500.0,hyperliquid,BTC,62999.0
1781249400.0,hyperliquid,BTC,63031.0
1781250300.0,hyperliquid,BTC,63062.0
1781251200.0,hyperliquid,BTC,63272.0
1781252100.0,hyperliquid,BTC,63496.0
1781253000.0,hyperliquid,BTC,63355.0
1781253900.0,hyperliquid,BTC,63443.0
1781254800.0,hyperliquid,BTC,63529.0
1781255700.0,hyperliquid,BTC,63743.0
1781256600.0,hyperliquid,BTC,63860.0
1781257500.0,hyperliquid,BTC,63723.0
1781258400.0,hyperliquid,BTC,63739.0
1781259300.0,hyperliquid,BTC,63585.0
