ts,rate
1783080000.004,1.25e-05
1783083600.007,1.25e-05
1783087200.011,1.25e-05
1783090800.026,1.25e-05
1783094400.062,1.25e-05
1783098000.007,1.25e-05
1783101600.046,1.25e-05
1783105200.04,1.25e-05
1783108800.014,1.25e-05
1783112400.013,1.25e-05
1783116000.049,1.25e-05
1783119600.014,1.25e-05
1783123200.014,1.25e-05
1783126800.023,1.25e-05
1783130400.022,1.25e-05
1783134000.012,1.25e-05
1783137600.074,1.25e-05
1783141200.064,1.25e-05
1783144800.006,1.25e-05
1783148400.009,1.25e-05
1783152000.041,1.25e-05
1783155600.033,1.25e-05
1783159200.068,1.25e-05
1783162800.049,1.25e-05
1783166400.014,1.25e-05
1783170000.049,1.25e-05
1783173600.051,1.25e-05
1783177200.083,1.25e-05
1783180800.074,1.25e-05
1783184400.031,1.25e-05
1783188000.016,1.25e-05
1783191600.033,1.25e-05
1783195200.036,1.25e-05
1783198800.023,1.25e-05
1783202400.015,1.25e-05
1783206000.021,1.25e-05
1783209600.077,1.25e-05
1783213200.057,1.25e-05
1783216800.021,1.25e-05
1783220400.031,1.25e-05
1783224000.046,1.25e-05
1783227600.013,1.25e-05
1783231200.042,1.25e-05
1783234800.059,1.25e-05
1783238400.002,1.25e-05
1783242000.041,1.25e-05
1783245600.044,1.25e-05
1783249200.023,1.25e-05
1783252800.03,1.25e-05
1783256400.036,1.25e-05
1783260000.038,1.25e-05
1783263600.031,1.25e-05
1783267200.001,1.25e-05
1783270800.03,1.25e-05
1783274400.013,1.25e-05
1783278000.023,1.25e-05
1783281600.039,1.25e-05
1783285200.043,1.25e-05
1783288800.042,1.25e-05
1783292400.024,1.25e-05
1783296000.026,1.25e-05
1783299600.01,1.25e-05
1783303200.061,1.25e-05
1783306800.027,1.25e-05
1783310400.055,1.25e-05
1783314000.021,1.25e-05
1783317600.057,1.25e-05
1783321200.035,1.25e-05
1783324800.012,1.25e-05
1783328400.015,1.25e-05
1783332000.027,1.25e-05
1783335600.052,1.25e-05
1783339200.006,1.25e-05
1783342800.006,1.25e-05
1783346400.03,1.25e-05
1783350000.126,1.25e-05
1783353600.08,1.25e-05
1783357200.022,1.25e-05
1783360800.024,1.25e-05
1783364400.057,1.25e-05
1783368000.066,1.25e-05
1783371600.039,1.25e-05
1783375200.063,1.25e-05
1783378800.027,1.25e-05
1783382400.045,1.25e-05
1783386000.016,1.25e-05
1783389600.038,1.25e-05
1783393200.016,1.25e-05
1783396800.04,1.25e-05
1783400400.044,1.25e-05
1783404000.057,1.25e-05
1783407600.03,1.25e-05
1783411200.059,1.25e-05
1783414800.05,1.25e-05
1783418400.014,1.25e-05
1783422000.093,1.25e-05
1783425600.031,1.25e-05
1783429200.06,1.25e-05
1783432800.064,1.25e-05
1783436400.094,1.25e-05
1783440000.045,1.25e-05
1783443600.069,1.25e-05
1783447200.007,1.25e-05
1783450800.045,1.25e-05
1783454400.007,1.25e-05
1783458000.01,1.25e-05
1783461600.012,1.25e-05
1783465200.057,1.25e-05
