ts,side,price,size
1781111700.001,sell,61874.0,184.984355
1781112600.0,buy,61896.0,672.28277
1781112600.001,sell,61625.0,672.28277
1781113500.0,sell,61694.0,213.856705
1781113500.001,buy,62037.0,213.856705
1781114400.0,buy,62130.0,311.369135
1781114400.001,sell,61885.0,311.369135
1781115300.0,sell,61834.0,222.59548
1781115300.001,buy,62000.0,222.59548
1781116200.0,buy,62000.0,204.06623
1781116200.001,sell,61726.0,204.06623
1781117100.0,sell,61594.0,388.194515
1781117100.001,buy,61870.0,388.194515
1781118000.0,buy,61925.0,237.25531
1781118000.001,sell,61712.0,237.25531
1781118900.0,sell,61651.0,153.77968
1781118900.001,buy,61813.0,153.77968
1781119800.0,sell,61766.0,199.63876
1781119800.001,buy,62052.0,199.63876
1781120700.0,buy,62019.0,185.77918
1781120700.001,sell,61836.0,185.77918
1781121600.0,buy,61930.0,378.58405
1781121600.001,sell,61664.0,378.58405
1781122500.0,sell,61713.0,222.689365
1781122500.001,buy,61933.0,222.689365
1781123400.0,buy,61896.0,109.849205
1781123400.001,sell,61790.0,109.849205
1781124300.0,buy,61818.0,91.88664
1781124300.001,sell,61676.0,91.88664
1781125200.0,buy,61779.0,371.717425
1781125200.001,sell,61469.0,371.717425
1781126100.0,sell,61502.0,237.975735
1781126100.001,buy,61665.0,237.975735
1781127000.0,sell,61545.0,305.487105
1781127000.001,buy,61701.0,305.487105
1781127900.0,buy,61669.0,581.79088
1781127900.001,sell,61150.0,581.79088
1781128800.0,buy,61332.0,385.24643
1781128800.001,sell,61139.0,385.24643
1781129700.0,sell,61069.0,444.987425
1781129700.001,buy,61318.0,444.987425
1781130600.0,sell,61223.0,196.118795
1781130600.001,buy,61571.0,196.118795
1781131500.0,buy,61534.0,111.76409
1781131500.001,sell,61337.0,111.76409
1781132400.0,buy,61351.0,71.653235
1781132400.001,sell,61158.0,71.653235
1781133300.0,sell,61134.0,374.57168
1781133300.001,buy,61551.0,374.57168
1781134200.0,buy,61578.0,171.515335
1781134200.001,sell,61440.0,171.515335
1781135100.0,buy,61554.0,57.289765
1781135100.001,sell,61450.0,57.289765
1781136000.0,sell,61484.0,180.05761
1781136000.001,buy,61673.0,180.05761
1781136900.0,sell,61668.0,457.47245
1781136900.001,buy,61976.0,457.47245
1781137800.0,buy,61868.0,173.24296
1781137800.001,sell,61743.0,173.24296
1781138700.0,sell,61757.0,75.57884
1781138700.001,buy,61905.0,75.57884
1781139600.0,sell,61796.0,253.484545
1781139600.001,buy,62102.0,253.484545
1781140500.0,sell,61990.0,375.82666
1781140500.001,buy,62195.0,375.82666
1781141400.0,sell,62065.0,293.10037
1781141400.001,buy,62345.0,293.10037
1781142300.0,buy,62277.0,138.922345
1781142300.001,sell,62139.0,138.922345
1781143200.0,buy,62245.0,157.462975
1781143200.001,sell,62066.0,157.462975
1781144100.0,buy,62278.0,154.834455
1781144100.001,sell,62022.0,154.834455
1781145000.0,sell,61900.0,74.83821
1781145000.001,buy,62066.0,74.83821
1781145900.0,sell,61969.0,91.958915
1781145900.001,buy,62190.0,91.958915
1781146800.0,buy,62158.0,159.10952
1781146800.001,sell,61973.0,159.10952
1781147700.0,sell,61984.0,42.77125
1781147700.001,buy,62111.0,42.77125
1781148600.0,sell,62078.0,255.411425
1781148600.001,buy,62534.0,255.411425
1781149500.0,sell,62343.0,294.45253
1781149500.001,buy,62800.0,294.45253
1781150400.0,buy,62712.0,131.185745
1781150400.001,sell,62549.0,131.185745
1781151300.0,buy,62682.0,66.78646
1781151300.001,sell,62576.0,66.78646
1781152200.0,sell,62516.0,215.95165
1781152200.001,buy,62676.0,215.95165
1781153100.0,sell,62632.0,296.2256
1781153100.001,buy,62825.0,296.2256
1781154000.0,buy,62692.0,101.98896
1781154000.001,sell,62526.0,101.98896
1781154900.0,sell,62551.0,45.82538
1781154900.001,buy,62694.0,45.82538
1781155800.0,sell,62564.0,84.923555
1781155800.001,buy,62675.0,84.923555
1781156700.0,buy,62682.0,75.08104
1781156700.001,sell,62568.0,75.08104
1781157600.0,sell,62508.0,136.81732
1781157600.001,buy,62784.0,136.81732
1781158500.0,sell,62705.0,457.45165
1781158500.001,buy,62971.0,457.45165
1781159400.0,sell,62825.0,143.139935
1781159400.001,buy,62961.0,143.139935
1781160300.0,buy,62913.0,106.911155
1781160300.001,sell,62717.0,106.911155
1781161200.0,buy,62750.0,162.411625
1781161200.001,sell,62579.0,162.411625
1781162100.0,sell,62609.0,47.720795
1781162100.001,buy,62775.0,47.720795
1781163000.0,buy,62813.0,111.456515
1781163000.001,sell,62574.0,111.456515
1781163900.0,sell,62641.0,36.448525
1781163900.001,buy,62730.0,36.448525
1781164800.0,sell,62685.0,104.40811
1781164800.001,buy,62845.0,104.40811
1781165700.0,sell,62770.0,106.99844
1781165700.001,buy,62934.0,106.99844
1781166600.0,buy,62946.0,79.122535
1781166600.001,sell,62816.0,79.122535
1781167500.0,sell,62823.0,163.50761
1781167500.001,buy,63026.0,163.50761
1781168400.0,buy,62932.0,143.81561
1781168400.001,sell,62781.0,143.81561
1781169300.0,buy,62835.0,111.29518
1781169300.001,sell,62753.0,111.29518
1781170200.0,sell,62787.0,138.008045
1781170200.001,buy,62937.0,138.008045
1781171100.0,buy,62972.0,96.47073
1781171100.001,sell,62867.0,96.47073
1781172000.0,buy,62954.0,252.062575
1781172000.001,sell,62810.0,252.062575
1781172900.0,buy,62905.0,147.1111
1781172900.001,sell,62772.0,147.1111
1781173800.0,sell,62818.0,44.82758
1781173800.001,buy,62923.0,44.82758
1781174700.0,sell,62893.0,444.124855
1781174700.001,buy,63175.0,444.124855
1781175600.0,sell,63007.0,185.76883
1781175600.001,buy,63176.0,185.76883
1781176500.0,buy,63186.0,80.782105
1781176500.001,sell,63077.0,80.782105
1781177400.0,buy,63244.0,317.499105
1781177400.001,sell,63062.0,317.499105
1781178300.0,buy,63216.0,177.37633
1781178300.001,sell,63051.0,177.37633
1781179200.0,sell,62972.0,161.15629
1781179200.001,buy,63164.0,161.15629
1781180100.0,buy,63153.0,738.820505
1781180100.001,sell,62628.0,738.820505
1781181000.0,sell,62475.0,463.185705
1781181000.001,buy,62895.0,463.185705
1781181900.0,sell,62825.0,226.586785
1781181900.001,buy,63016.0,226.586785
1781182800.0,buy,62976.0,54.745435
1781182800.001,sell,62829.0,54.745435
1781183700.0,buy,63017.0,105.75505
1781183700.001,sell,62761.0,105.75505
1781184600.0,sell,62648.0,318.18376
1781184600.001,buy,62940.0,318.18376
1781185500.0,sell,62912.0,425.484345
1781185500.001,buy,63201.0,425.484345
1781186400.0,buy,63056.0,163.205055
1781186400.001,sell,62726.0,163.205055
1781187300.0,sell,62701.0,339.69236
1781187300.001,buy,62995.0,339.69236
1781188200.0,buy,63049.0,137.971655
1781188200.001,sell,62818.0,137.971655
1781189100.0,buy,62980.0,79.633285
1781189100.001,sell,62706.0,79.633285
1781190000.0,buy,62825.0,605.15177
1781190000.001,sell,62510.0,605.15177
1781190900.0,sell,62583.0,187.502315
1781190900.001,buy,62782.0,187.502315
1781191800.0,buy,62843.0,94.356775
1781191800.001,sell,62602.0,94.356775
1781192700.0,sell,62538.0,77.186465
1781192700.001,buy,62717.0,77.186465
1781193600.0,sell,62646.0,111.02091
1781193600.001,buy,62796.0,111.02091
1781194500.0,buy,62811.0,125.877685
1781194500.001,sell,62545.0,125.877685
1781195400.0,sell,62530.0,232.676945
1781195400.001,buy,62769.0,232.676945
1781196300.0,buy,62652.0,63.54699
1781196300.001,sell,62550.0,63.54699
1781197200.0,buy,62583.0,243.13039
1781197200.001,sell,62350.0,243.13039
1781198100.0,sell,62314.0,467.84946
1781198100.001,buy,62960.0,467.84946
1781199000.0,sell,62931.0,1373.274625
1781199000.001,buy,63453.0,1373.274625
1781199900.0,sell,63290.0,1561.89412
1781199900.001,buy,63638.0,1561.89412
1781200800.0,buy,63777.0,903.903715
1781200800.001,sell,63306.0,903.903715
1781201700.0,buy,63603.0,226.92933
1781201700.001,sell,63327.0,226.92933
1781202600.0,sell,63358.0,168.85511
1781202600.001,buy,63537.0,168.85511
1781203500.0,buy,63559.0,102.70458
1781203500.001,sell,63430.0,102.70458
1781204400.0,sell,63369.0,235.906465
1781204400.001,buy,63578.0,235.906465
1781205300.0,sell,63514.0,237.64371
1781205300.001,buy,63686.0,237.64371
1781206200.0,sell,63575.0,1202.462165
1781206200.001,buy,63919.0,1202.462165
1781207100.0,buy,63690.0,215.162045
1781207100.001,sell,63570.0,215.162045
1781208000.0,buy,63641.0,509.148265
1781208000.001,sell,63465.0,509.148265
1781208900.0,buy,63520.0,257.33733
1781208900.001,sell,63290.0,257.33733
1781209800.0,buy,63375.0,254.243785
1781209800.001,sell,63250.0,254.243785
1781210700.0,sell,63240.0,237.823475
1781210700.001,buy,63383.0,237.823475
1781211600.0,sell,63369.0,112.70673
1781211600.001,buy,63579.0,112.70673
1781212500.0,buy,63536.0,142.712435
1781212500.001,sell,63412.0,142.712435
1781213400.0,sell,63437.0,69.98584
1781213400.001,buy,63516.0,69.98584
1781214300.0,buy,63548.0,39.355325
1781214300.001,sell,63430.0,39.355325
1781215200.0,sell,63482.0,85.311615
1781215200.001,buy,63642.0,85.311615
1781216100.0,buy,63650.0,47.325095
1781216100.001,sell,63509.0,47.325095
1781217000.0,buy,63624.0,239.07178
1781217000.001,sell,63474.0,239.07178
1781217900.0,buy,63561.0,85.027495
1781217900.001,sell,63440.0,85.027495
1781218800.0,buy,63472.0,74.76179
1781218800.001,sell,63334.0,74.76179
1781219700.0,buy,63409.0,23.313115
1781219700.001,sell,63350.0,23.313115
1781220600.0,sell,63354.0,202.029305
1781220600.001,buy,63685.0,202.029305
1781221500.0,sell,63492.0,122.794815
1781221500.001,buy,63636.0,122.794815
1781222400.0,sell,63525.0,199.18404
1781222400.001,buy,63775.0,199.18404
1781223300.0,buy,63718.0,76.919865
1781223300.001,sell,63501.0,76.919865
1781224200.0,sell,63551.0,40.751965
1781224200.001,buy,63728.0,40.751965
1781225100.0,buy,63708.0,45.709435
1781225100.001,sell,63612.0,45.709435
1781226000.0,buy,63629.0,43.4768
1781226000.001,sell,63445.0,43.4768
1781226900.0,buy,63521.0,176.848585
1781226900.001,sell,63277.0,176.848585
1781227800.0,sell,63286.0,118.286395
1781227800.001,buy,63395.0,118.286395
1781228700.0,sell,63346.0,30.556055
1781228700.001,buy,63434.0,30.556055
1781229600.0,sell,63400.0,110.52041
1781229600.001,buy,63760.0,110.52041
1781230500.0,buy,63663.0,60.009865
1781230500.001,sell,63506.0,60.009865
1781231400.0,sell,63472.0,43.416755
1781231400.001,buy,63606.0,43.416755
1781232300.0,buy,63607.0,65.310225
1781232300.001,sell,63529.0,65.310225
1781233200.0,buy,63621.0,74.353555
1781233200.001,sell,63484.0,74.353555
1781234100.0,buy,63501.0,66.646965
1781234100.001,sell,63322.0,66.646965
1781235000.0,sell,63410.0,96.059135
1781235000.001,buy,63497.0,96.059135
1781235900.0,sell,63433.0,18.046875
1781235900.001,buy,63505.0,18.046875
1781236800.0,buy,63536.0,21.817185
1781236800.001,sell,63400.0,21.817185
1781237700.0,sell,63475.0,160.20746
1781237700.001,buy,63792.0,160.20746
1781238600.0,buy,63846.0,142.027125
